Timestamp,كانت تواجهك الحيرة بخصوص مجال الذكاء الاصطناعي قبل حضورك لاسبوع الذكاء الاصطناعي في مبادرة مجال؟,ساعدتك مبادرة مجال على تحديد ما إذا كان مجال الذكاء الاصطناعي يناسبك أم لا,هل اتخذت قرارًا بخصوص مجال الذكاء الاصطناعي؟,تقييمك لمبادرة مجال في مجال الذكاء الاصطناعي,نقدك واقتراحاتك لمبادرة مجال في مجال الذكاء الاصطناعي
8/7/2025 16:39:27,4,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,ممتازة عشرة على عشرة,لا شى
8/7/2025 16:40:54,3,4,لا، ليس بعد,ممتازة وسعدتني كثيراً لتعرف على ai,-
8/7/2025 16:48:34,4,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,أفضل ما يميز المبادره هو قدرتها على تبسيط مفاهيم الذكاء الاصطناعي المعقدة وتقديمها بطريقة سلسة وواضحة للجميع.,.
8/7/2025 16:51:04,2,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,واحد من افضل المبادرات اذا ماكان افضلهم، شكرا من قلب لمن ساهم بهذي المبادرة، تسلسل الافكار، المواضيع، طريقة الطرح كلها ممتازة، اختيار طاقم التدريب كان موفق جدا، تجربة جميلة جدا,مافيه اي اقتراحات غير الاستمرار على نفس هذا المستوى الجميل 
8/7/2025 16:55:29,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,شكرا لكم ويعطيكم الف عافيه، دخلت ما كنت كثير حابه المجال بس مجبوره اخذ نظره عشان مشروع تخرجي و طلعت حابه المجال و ابي اكمل فيه وهذا بفضل الله ثم انتو، كنتو خير معلمين و مرشدين و مساعدين و صرتو مصدر فخر ان هذا كله بصنع سعوديين و سعوديات، أشكركم و فخوره فيكم، غرست فيني شعور جميل و معلومات قيمه ارجع أشكركم كثير كثير.,كان كل شي كامل جميل لا حاجه النقد وإنما نتمنى استمراركم
8/7/2025 16:57:03,3,5,لا، ليس بعد,شكراً من القلب للمبادرة الرائعة اللي ساعدتني أفهم نفسي و اقتنعت اكثر بأن AI المجال المناسب لي.بصراحة استفدت مرة و أشوف أنها مبادرة ناجحة كل التوفيق لكم💗💗,الجزء النظري (اليوم الأول والثاني) كان طويل جدًا مقارنة بالوقت خاصة للمبتدئين الا ما عندهم خلفية مسبقة اقترح تبسيط الشرح، المعادلات والخوارزميات يمكن تحسينها بتوضيح الرابط بينها وبين التطبيقات الواقعية
8/7/2025 17:35:22,3,3,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,10/10,"الصراحة كل شيء جميل وما قصرتوا الله يعطيكم العافية مرره استفدنا جدًا 
وفاضل والوليد جهدكم ما نعرف كيف نشكره الله يجزاكم الجنه ما قصرتوا"
8/7/2025 18:18:31,1,2,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,"10/10 
حبيت كيف كانت المعرفه والتعلم والمتعه موجوده بنفس الوقت وتنفع تكون حتى مو بس للناس اللي تبحث عن مجالها ممكن تكون بوابه اننا نتعرف على مواضيع بعيده عن تخصصنا ونوسع معرفتنا وادراكنا بباقي المواضيع",.
8/7/2025 18:25:15,3,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,المدربين كانو قمة في الاخلاق والاسلوب وعندهم طوله بال وخلقو وسط مُريح كفايه اني اسأل اسأليه جدًا بدائيه وهالشيء يقول الكثير عنهم، طريقتهم بتوصيل المعلومة بشكل بسيط! دخلت الدورة وانا معتقده ان الذكاء الاصطناعي صعب جدًا! لكن طلعت منها الان وانا فاهمه وعارفه وماخذه نظره كبيره عليه ومطبقه برضو وعندي خلفيه عنه جدًا دقيقه. الصراحه التقييم فوق التقييم ١٠/١٠ الله يعطيهم العافية ماقصرو معانا ,.
8/7/2025 19:18:41,5,5,نعم، قررت أن مجال الذكاء الاصطناعي لا يناسبني,مبادره ممتازه واحترافيه مفيده جدا ,"شكرا لجميع المدربين كلهم كانوا متعاونين ويحاولون يساعدون بطيب نفس 💖
والرد على استفسارنا والدعم الدائم
وفقره كاهوت والهدايا  😍


هذي اقتراحاتي:
إرسال سلايدات النظري قبل بفتره.
تلخيص الاكواد الاساسيه ك مراجعه او عشان نفهمها ونراجع منها في وقت لاحق. 
أنا خريجه احصاء درست البايثون لكن بشكل عام أساسي حسيت بعض الاحيان بالدوره اني ضايعه شوي😩.  "
8/7/2025 19:58:14,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,ممتازه تاريخيه بس كان العيب الوحيد الوقت صراحه تخلص متاخر جدا و تعبتني شوي في باقي اشغال الاسبوع,كل شي مثالي الا الوقت
8/7/2025 19:58:32,4,4,لا، ليس بعد,رائعة وطاقم العمل ماقصروا متعاونين جدا حبيت فكرة ان باسبوع واحد عطيتونا نظرة شامله عن التخصص,مبادرة متكامله الله يعطيكم العافيه ويوفق جميع اللي ساهموا فهالمبادره وساعدونا 
8/7/2025 20:02:06,5,5,نعم، قررت أن مجال الذكاء الاصطناعي لا يناسبني,10 out of 10,"كل شي جميل من جميع النواحي لكن اقترح تحسين الجزء النظري بحيث يكون اكثر متعه للتعلم من ناحية الطلاب، حيث افضّل النقاش و ضرب الامثلة وليس جعلها محاضرة نظرية بحته
امثلة/ احياء انشطة تفاعلية مثل بحث عن معلومة معينة + مناقشة موضوع بحيث يقوم كل طالب بذكر مثال عن الموضوع من الحياة الواقعية 
طرح ايضا اسئلة تحفيزيه خلال الشرح "
8/7/2025 20:05:41,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,أحلى مبادرة فيك يالشرقية ,.
8/7/2025 20:26:37,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,افضل كورس حضرته بحياتي,توفير إنترنت ههههههههههههههههههههههههه امزح مابه عيوب
8/7/2025 20:38:43,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,"تعرفون انكم ابدعتم لمن يجي شخص مثلي ما يعرف شي عن ال Ai او لغة بايثون او البرمه
مع كذا وخلال ٤ ايام (لأني ما حضرت اليوم الاول)
يوصل من الصفر الى انه يعرف كيف ال Ai يشتغل ويقدر يبني Ai model 
سعيده جدًا للتجربه هذي وحتى لو ما تخصصت في عذا المجال المعلومات اللي اخذتها منكم راح تبقى فالذاكره
طريقة الشرح مع التطبيق تخلينا ما ننسى 
شكرًا لكم","لا تعتمدون على الدكاتره 
مو تقليل فالدكتور الي شرح كان شرحه حلو 
بس الطلاب يعرفون للطلاب اكثر من اي احد 
يعرفون ايش نقاط الضعف عندنا ويعرفون كيف يقوونها
فكرة ان الي يشرح لنا طالب مثلنا مره افضل"
8/7/2025 20:43:03,3,5,لا، ليس بعد,مجال فريق يتسم بروح جميلة متعاونة ساهمت بشكل كبير في صنع الفرق والرغبة العلمية للتعلم,كل المقدمين بدى عليهم المعرفه وروح المعاونة وماقصرو ابدا
8/8/2025 11:59:14,3,4,نعم، قررت أن مجال الذكاء الاصطناعي لا يناسبني,9/10,"المبادرة ممتازه 
ماحسيت فيه عيوب إلا أول  يومين حسيت فجأة دخلنا بمواضيع مختلفه شوي ولاكن كانت جميله 

و بشكل عام أنا استفدت من البادره و يعطيكم العافيه "
8/8/2025 12:20:31,2,2,نعم، قررت أن مجال الذكاء الاصطناعي لا يناسبني,رائعه جداً من ناحيه المحتوى العملي الفكره والتنفيذ متكامل,"الجزء النظري ممل جداً قد يكون في طريقه يكون فيها اخف وجاذب للتركيز اكثر لانه اكيد مهم

بعض الاكواد في اللابات يتم تمشيتها بسرعه والافضل التفصيل والمعرفه لكل كود 

اقترح يكون مثلا في ملخصات لاشهر الدوال او م شابه بس للمراجعه والتثبيت او حتى بالبورد تنكتب ان هذا اللي نستخدمه بحيث يتم التركيد عليه ان هذا مهم ومرتب بهالشي او بهالمجال لان الكود كبير وقد يضيع فيه مع ان احيان يكون موضح فيه شرح بسيط"
8/8/2025 12:56:38,2,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,10/10 كنتم قادرين على اختيار الكم الصحيح من المعلومات لمشاركتها وشرحها بطريقة ممتعة ومفيدة ,لا يوجد
8/8/2025 13:42:47,5,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,ممتاز جداً ,لا يوجد 
8/8/2025 14:01:46,3,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,مبادرة جدا رائعة و مفيدة و تعليمية ,لا يوجد 
8/8/2025 14:27:18,2,5,نعم، قررت ان مجال الذكاء الاصطناعي هو المجال المناسب لي,مبادرة تعليمية ممتازة وفريدة من نوعها لدعم ومساعدة الطلاب المهتمين في المجال للتعرف اكثر عن الذكاء الاصطناعي ,اشكر المدربين ما قصروا معنا وجاوبوا على كل اسئلتنا واستفساراتنا وصنعوا من الفرصة تجربة ممتعة قبل ان تكون تعليمية بالنسبة لنا استفدت كثيرا واستمتعت اكثر 
8/8/2025 15:10:37,5,4,لا، ليس بعد,تجربة ممتازه و رائعه بكافه النواحي النظريه و العمليه,ممكن حاجه بسيطه و لا عتب عليكم فيها بحكم ضغط الوقت، السلايدات و اللابات لو تنرسل قبل بيوم يكون افضل
8/8/2025 17:26:11,4,3,لا، ليس بعد,مبادرة رائعة شكرا لكم,-
8/8/2025 19:58:29,5,4,لا، ليس بعد,فوق الاقييم,الأنشطة جميلة وممتعة  وشرح مفيد ومفهوم. عن نفسي ما حبيت تغير الدكتور اللي يشرح النظري، المشكلة مو بالدكتور المشكلة بالتغير المفاجئ. حاجة ثانية ما حبيتها هي عدم وضوح الجدول اليومي وعدم الالتزام بالاوقات. أنا عارف انه في البداية نظري وبعدها بريك وبعدها عملي ولكن اللي افضله هو كتابة جدول كل يوم بمواضيعه وكتابة مدة البريك من وإلى كم مع الالتزام بهذه الأوقات والتشديد على الطلاب في الالتزام بالاوقات كذلك. وشكرا
8/9/2025 13:06:34,3,5,لا، ليس بعد,"مليون من عشره الدوره ساعدتني اخذ فكره عن مجال الذكاء الاصطناعي وجدا عجبني 
الشرح كان جدا واضح كلهم كانو متساعدين ",.