Timestamp,كانت تواجهك الحيرة بخصوص مجال تطوير وكلاء الذكاء الاصطناعي قبل حضورك للورشة؟,ساعدتك الورشة على تحديد ما إذا كان مجال تطوير وكلاء الذكاء الاصطناعي يناسبك أم لا,استفدت من ورشة تطوير وكلاء الذكاء الاصطناعي,هل اتخذت قرارًا بخصوص مجال تطوير وكلاء الذكاء الاصطناعي؟,  تقييمك لورشة تطوير وكلاء الذكاء الاصطناعي ومدى استفادتك منها,نقدك واقتراحاتك لورشة تطوير وكلاء الذكاء الاصطناعي
5/1/2026 19:59:22,2,4,5,نعم، قررت انه يناسبني,ممتازه جداً,-
5/1/2026 19:59:28,3,4,5,لا، ليس بعد,10 على 10 رهيبين,متنا حر 
5/1/2026 19:59:30,2,5,3,نعم، قررت انه يناسبني,ممتازه المدرب فاهم لكن يمكن لوفيه عرض افضل,مستقبلا يكون فيه توضيح لكيف نبدا مثلا
5/1/2026 19:59:32,5,5,5,نعم، قررت انه يناسبني,خيال الصراحة,المكان ☹️
5/1/2026 19:59:56,4,3,4,نعم، قررت انه يناسبني,جميله جدا ,لايوجد 
5/1/2026 19:59:59,5,5,5,نعم، قررت انه يناسبني,"ممتازه والمتحدث الوليد رائع جدا بسط لنا الفكره مرا 
بس اتمنى بتغيير المكان وجعله أوسع ",توسعة المكان وتقصير المده وتوفير اكل
5/1/2026 20:00:03,5,1,1,لا، ليس بعد,لم استفد,شرح للبيئة وشرح للتقنية المستخدمة 
5/1/2026 20:00:11,2,5,5,نعم، قررت انه يناسبني,مليييون من عشره,يعطيكم العافيه مشكورين
5/1/2026 20:00:11,2,3,5,لا، ليس بعد,استفدت منها كثير بهالمده يعتبر معلومات ممتاز ,لا يحضرني شي ، ممتاز على ما اعتقد 
5/1/2026 20:00:15,2,3,3,نعم، قررت انه يناسبني,.,.
5/1/2026 20:00:19,5,5,5,نعم، قررت انه يناسبني,جميل,المكان غير مناسب 
5/1/2026 20:00:31,3,5,5,نعم، قررت انه يناسبني,استفدت الكثير شكرًا للملك الوليد,ماعندي نقد او اقتراحات كلشي كان ممتاز على الوقت الضيق
5/1/2026 20:00:48,5,5,5,نعم، قررت انه يناسبني,ممتازه جدًا وعطتني نظره للمجال وشكرًا ل الوليد على الشرح الرائع,لايوجد
5/1/2026 20:01:44,3,5,5,نعم، قررت انه يناسبني,١٠/١٠,اقتراح مو بالخصوص حق ورشة تطوير وكلاء الذكاء الاصطناعي ولكن عن الورش انه مافيه ورش كافيه اذكر السنه الي راحت كانت فيه ثنتين WEB CTF حضرت لها وكان فيه كوانتم AI ف اتمنى يكون فيه ورش اكثر نقدر نستفيد منها 
5/1/2026 20:02:18,3,4,5,نعم، قررت انه يناسبني,يعطيكم العافية بدعتو وم قصرتو وكان ممتع ومفيد ,كان حر شوي
5/1/2026 20:03:16,3,5,5,نعم، قررت انه يناسبني,جدا ممتازه وشرح رائع من الوليد,فقط تغيير المكان بسبب ازعاج الشارع
5/1/2026 20:03:44,3,4,5,لا، ليس بعد,"المقدم كان جميل و شرحه بسيط و مفهوم
الموضوع كان جميل",لم يكن هناك اسئلة و مهام كفاية لو كان هنالك اكثر كان بيكون التعلم افضل.
5/1/2026 20:05:12,4,4,5,نعم، قررت انه يناسبني,الورشة كانت مفيدة للغاية وأعطتني نظرة اوضح في هذا المجال وكانت تجربة اثرائية,اختيار اوقات افضل للورشات
5/1/2026 20:05:36,3,5,5,نعم، قررت انه يناسبني,كانت الورشه مفيده وممتعه,لا يوجد 
5/1/2026 20:20:10,4,4,4,نعم، قررت انه يناسبني,مفيدة واثرائية,اختيار اوقات افضل
5/1/2026 20:21:01,5,5,5,نعم، قررت انه يناسبني,ممتازين,ممكن ان تكون ورشة مبسطة لناس الي مثلا معندهم خلفية برمجية قوية و ودهم يتعلمون مثل هاذي اشياء لان في كثير تخصصاتهم مو حاسب بس يبون و عندهم طموح يكونون في هاذي مجالات اذا مثلا تقدرون تبسطون اكثر او انكم تسوون دورات مخصصه لهاذي فئات 
5/1/2026 21:18:12,3,5,4,لا، ليس بعد,يعطيكم العافية مفيدة وممتعة جدًا,كان شوي حر. وترني التصوير
5/2/2026 5:38:21,4,4,5,لا، ليس بعد,ممتازه ,اقترح الشرح يكون تفصيلي اكثر العملي ممتاز وضبط بس لسى المفاهيم وحتى شرح الكود فيه تضليل