Timestamp,مدى رضاك عن شرح المحاضر فاضل العبيدي,مدى رضاك عن المكان ,مدى رضاك عن المحتوى ,مدى رضاك عن ورشة الحوسبة الكمية عمومًا,نقد واقتراحات او حتى ايجابيات لنطور من مجال
11/1/2025 15:30:10,5,3,5,5,المكان فيه ازعاج شوي
11/1/2025 15:30:50,5,5,5,5,"تمنيت لو مقدم الورشة قدّم نفسه ببداية الكورس
ولو صار في لحظة تعريف عن الحضور بحيث نعرف مجالات بعض ونستفيد من بعض مستقبلًا

يعطيكم الف عافيه"
11/1/2025 15:31:02,5,5,5,5,حاولت ادور نقد او شي ممكن تطورون فيه الورش القادمه .. بس مافي اي شي الله يسعدك يافاضل ماقصرت كان يعيد النقطه مره ومرتين وثلاث و يشيك على كل واحد ويساعدنا .. يعطيه الف عافيه محاضر عظيم جدًا 
11/1/2025 15:31:31,5,3,5,5,الورشه ممتازه جدا لكن حقيقه ربما تكون تستهدف ناس متخصصين في الماث او الفيزكس اقترح دورات عن agents - computer vesion-nlp 
11/1/2025 15:31:36,5,3,5,5,يعطيكم العافية ماقصرتو🙏🏻
11/1/2025 15:31:40,5,2,5,5,"اضافه شروحات عن تطبيق المفاهيم بالواقع "" في بيئه العمل """
11/1/2025 15:31:56,5,4,5,5,كل شي جميل بس لو تقصرون الوقت وتكثرون الايام افضل 
11/1/2025 15:33:20,4,4,5,5,يليت التكييف تعلون عليه واكون شاكرتكم☺️.
11/1/2025 15:33:28,5,5,5,5,فوق التقييم 🫵🏼
11/1/2025 15:34:00,5,5,5,5,افضل ورشات احضرها … لكن الورشه ذي ياليت تنعاد ما قدرت احضرها كلها بسبب الميدات 
11/1/2025 15:34:01,5,5,5,5,لو تسوون دورة عن مجال تحليل البيانات وذكاء الاعمال لمدة اسبوع بتكون اسطورية واول الحاضرين انا باذن الله 
11/1/2025 15:34:09,5,3,5,4,يعطيكم الف عافيه على شغلكم مشكورين على جهودكم الجباره كل شي كان مره مرتب 
11/1/2025 15:35:36,4,4,4,4,الورشة ممتازة والموضوع جديد بس لو كان فيه مقاطع ايضا توضيحية توضح كيف يتم تطبيق الحوسبة الكمية في الحياة الواقعية مثل استخداماتنا اليومية وغيره عشان توضح الفكرة اكثر من ان تطبيقه يكون فقط عملي وخوارزميات وغيره ..